"Код_товара","Название_позиции","Ключевые_слова","Краткое_описание","Тип_товара","Цена","Валюта","Единица_измерения","Минимальный_объем_заказа","Оптовая_цена","Минимальный_заказ_опт","Ссылка_изображения","Наличие","Номер_группы","Детальное_описание","Адрес_подраздела","Возможность_поставки","Срок_поставки","Способ_упаковки","Уникальный_идентификатор","Идентификатор_товара","Идентификатор_подраздела","Идентификатор_группы","Производитель","Страна производитель"
"","TMG-080 – поршневой бочковой ручной насос для топлива","насос ручной для дт и бензина, насос для перекачки масла, ручной насос для перекачки топлива купить, поршневой насос, ручной насос подкачки дизельного топлива","Поршневая бочковая помпа для перекачки дизельного топлива, керосина, бензина. Подходит для заправки из бочек строительной, сельхоз/техники, и др.","r","245.00","UAH","шт.","","","","http://images.prom.ua/12763082_w640_h640_tmg80.jpg","+","98658","<p> Поршневой ручной насос для перекачки (подкачки) дизельного топлива&nbsp;TMG-080 представляет собой удобную помпу из пластика, подсоединяемую к бочковым емкостям. Насос может использовать для перекачки воды, вина, дизельного топлива, растворителей, а также агрессивный химических жидкостей. Устройство удобно для заправки различной строительной и сельскохозяйственной технике. Достаточно подсоединить помпу к бочке, вставить трубу в емкость, которую нужно заправить, и выполнить ряд возвратно-поступательных движений, нажимая на клапан насоса. Модель TMG-080 предназначена для бочек на 200 л и обладает трубой с сечением 0,8 м. В зависимости от прикладываемой силы к поршню производительность насоса может достигать до 20 л/мин. &nbsp;</p>
<p> &nbsp;</p>","http://prom.ua/Bochkovye-nasosy","1","день","Насос поставляется в заводской картонной упаковке. Доставка по Украине осуществляется курьерскими службами «Ваш час», «НОВА ПОШТА», «Ночной Экспресс», «Евроэкспресс», «САТ» до склада перевозчика в вашем городе или прямо на адрес заказчика. Стоимость доставки включается в счет или оплачивается получателем.","5064222","","140310","","",""
"","Механический счетчик MGI-80 для учета бензина, ДТ с импульсным выходом","счетчик бензина, расходомер, имульс, учет топлива, учет бензина","Универсальный механический счетчик для учета бензина, дизельного топлива c импульсным выходом. Поток 10-90 л/мин, погрешность макс. +/-1%.","r","5600.00","UAH","шт.","","","","http://images.prom.ua/13584377_w640_h640_productestrg73.jpg","+","65646","<p>Механический счетчик MGI-80 предназначен для некоммерческого использования и может использоваться для отслеживания количества перекаченного бензина или дизельного топлива. Устройство выполнено по типу плавающего диска и обладает импульсным выходом, рассчитанным на поток жидкости от 10 до 90 л/мин. Счетчик выполнен из огнеупорного корпуса, рассчитанного на выдерживание температуры до 60 градусов, и поддерживает рабочее давление до 3,5 Бар. Частичный показатель MGI-80 рассчитан на 3 цифры, а насбрасываемый тотализатор поддерживает до 6 цифр. Счетчик оснащен 2 входами и 3 выходами с резьбовым соединением 1&#39; BSP. Модель MGI-80 комплектуется двумя дополнительными адаптерами, один из которых (красный) оснащен ситом на 352 микрон. Подсчет расхода топлива ведется в литрах, пинтах, галлонах или квартах, в зависимости от установленных настроек. Размер счетчика составляет 150х150х170, а вес - 2 кг. &nbsp;</p>
<p>&nbsp;</p>
<p>Огнеупорный корпус<br /> Поток жидкость (мин &mdash; макс): 10&mdash; 90 л/мин<br /> Погрешность: +/-1% (имеет возможность колибровки)<br /> Тип: плавающий диск<br /> Частичный показатель: 3 цифры<br /> Несбрасываемый тотализатор на 6 цифр<br /> Максимальное рабочее давление: 3,5 бар<br /> Резьбовое соединение: 1&#39; BSP с 3 выходами и 2 входами<br /> Максимальная рабрчая температура: +60&ordm;C<br /> Поставляется с двумя дополнительными адаптерами мама/папа 1&#39; BSP; красный адаптер имеет встроеное сито 352 микрон<br /> Для некоммерческого использования<br /> Считает в литрах, галлонах, пинтах и квартах*<br /> Размер: 150x150x170<br /> Вес: 2 кг</p>
<p>*1 галлон &mdash; 4,55 литра; 1 пинта =0,568; 1 кварта = 2 пинты</p>","http://prom.ua/Schetchiki","1","день","Доставка по Украине осуществляется курьерскими службами «НОВА ПОШТА», «Ночной Экспресс», «Евроэкспресс», «САТ», «Ваш час», «Интайм» до склада перевозчика в вашем городе или прямо на адрес заказчика. Стоимость доставки включается в счет или оплачивается получателем.","5555660","","153702","","","Испания"
"19010","Комплект для перекачки жидкости Adblue SAD-200M,  для 200-литровой бочки","насос для Adblue, перекачка мочевины, перекачка Adblue","Самовсасывающий насос SAD-200M со счетчиком MG-80. Используется для перекачки и учета 32.5% мочевины","r","5945.00","UAH","шт.","","","","http://images.prom.ua/14600584_w640_h640_productestrg183.jpg","+","1474862","<p>Комплект для перекачки SAD-200M предназначен для работы с водой или жидкостью Adblue, представляющей собой 32,5% водный раствор мочевины. Устройство оснащено центробежным самовсасывающим насосом CGI-150, работающим с напряжением в 220 В и достигающим производительности в 40 л/мин, что позволяет использовать комплект для работы с емкостями до 200 л. Дополнительно насос поддерживает функцию самовентиляции. Во время работы уровень шума насоса не превышает 72 дБ. Устройство обладает классом защиты IP-44 и работает при температурах от 10 до 60 градусов Цельсия. SAD-200M комплектуется механическим счетчиком расхода мочевины, механическим пистолетом, а также напорным рукавом с фитингами, обеспечивающими подключение пистолета.</p>
<p>&nbsp;</p>
<p><strong>Характеристика насоса:</strong></p>
<p>CGI-150 - центробежный самовсасывающий насос</p>
<p>Мотор: 220В, 0,37кВ, 50 Гц, однофазный, самовентелируемый.</p>
<p>Призводительность: 40 л/мин, 2800 оборотов в мин.</p>
<p>Цикл непрерывной работы: продолжительный</p>
<p>Давление на выходе макс.: 3.2 Бар</p>
<p>Класс защиты: IP-44</p>
<p>Минимальная температура: 10&ordm;С</p>
<p>Максимальная температура: 60&ordm;С</p>
<p>Впускное отверстие: 1&#39; BSP</p>
<p>Выпускное отверстие: 1&#39; BSP</p>
<p>Максимальный уровень шума: 72 дБ</p>
<p>Разрешенные жидкости: Adblue, Вода</p>
<p><strong>В комплекте:&nbsp;</strong></p>
<p>Механический счетчик для мочевины&nbsp;<u><a href=""http://2002255.com.ua/p584044-mehanicheskij-schetchik-dlya.html"">MG-80V</a></u>, погрешность&nbsp;&plusmn; &nbsp;1%</p>
<p>Механический пистолет</p>
<p>Напорный рукав 4 метра диаметром 19 мм (&frac34;&#39;) с фитингами, необходимыми для подключения к пистолету</p>","http://prom.ua/Toplivorazdatochnoe-oborudovanie","1","день","Доставка по Украине осуществляется курьерскими службами «НОВА ПОШТА», «Ночной Экспресс», «Евроэкспресс», «САТ», «Ваш час», «Интайм» до склада перевозчика в вашем городе или прямо на адрес заказчика. Стоимость доставки отдельно включается в счет или оплачивается получателем.","6229794","","141201","","",""
"","Силиконовый герметик LOXEAL 59-20, чорний, t до +200°C, 310 мл","герметизация, силиконовый герметик, для фланцев, для труб","Однокомпонентный силиконовый клей-герметик. Не подвержен воздействию кислорода, маслостойкий, химостойкий, вибростойкий, t до +200°C","r","","","","","","","http://images.prom.ua/15467384_w640_h640_5920c.jpg","+","788319","<p> <strong>LOXEAL 59-20</strong>&ndash; однокомпонентный силиконовый клей-герметик. Не подвержен воздействию кислорода, маслостойкий, химостойкий, вибростойкий. Характеризуется высокой адгезией к различным поверхностям. Не содержит растворителей. Сохраняет рабочие характеристики в широком диапазоне рабочих температур.<br /> <strong>Свойства продукта:</strong> Тип химического соединения: силикон с нейтральной полимеризацией.<br /> Цвет: прозрачный, черный.<br /> Вязкость, при 25 &deg;С, сПз: пастообразный.<br /> Удельный вес, гр/см&sup3;: 1.39.<br /> Величина монтажного зазора: 3 мм.<br /> Твердость: 30 ShA.<br /> Прочность на отрыв, мПа: 2.6.<br /> Степень растяжения до разрыва: 550%.<br /> Усадка: 1%.<br /> Диэлектрическая прочность, кВ/мм: 20.<br /> Диапазон рабочих температур, &deg;С: от &ndash;55 до +200&deg;C.<br /> Время формирования поверхностной пленки: 30-50 мин<br /> Время набора функциональной прочности (75%): 3-6 ч<br /> Время набора полной прочности (100%): 24-36 ч<br /> <strong>Область применения:</strong> LOXEAL 59-20 применяется для уплотнения сантехнических соединений, фланцевых соединений насосов, двигателей, емкостей для воды и масел, воздухопроводов. Герметик образует эластичные прокладки, заменяющие традиционные прокладки из резины, пластмасс, пробкового дерева, бумаги и т. п. Характеризуется высокой адгезией к металлическим, стеклянным, пластиковым, керамическим и другими поверхностям, к акрилу и поликарбонату. Устойчив к воздействию газа, воздуха, воды, масел, к растворам солей, кислот, щелочей, спиртов, маслу и топливу, а также к ударам и вибрации.<br /> <strong>Процесс полимеризации:</strong> Продукт полимеризуется при контакте с влагой воздуха. Скорость отверждения зависит от температуры среды, влажности, величины зазора. Оптимальными условиями является температура 22&deg;C, влажность 50%. Повышение температуры и влажности ведет к сокращению времени полимеризации.<br /> <strong>Рекомендации по применению:</strong> Перед нанесением герметика поверхность желательно очистить и обезжирить. Допускается нанесение на слегка замасленную поверхность. Продукт наносится на поверхность кистью, валиком или из тубы непрерывным буртиком. Отвердевший уплотнитель можно легко удалить с поверхностей обычным инструментом.<br /> <strong>Условия хранения:</strong> Оптимальными условиями хранения продукта является сухое прохладное место, в оригинальных плотно закрытых емкостях при температуре 8 &mdash; 28&deg;C. Срок хранения в оригинальной упаковке &ndash; 24 месяца.</p>
<p> &nbsp;</p>","http://prom.ua/Germetiki","","","","6800807","","82210","","",""
"","Клей-герметик для металлических труб, для больших зазоров LOXEAL 58-11, t-55/+150°C, 250 мл","герметизация труб, уплотнение труб, резьбовые соединения для трубопровода, для грубой резьбы, герметик для труб","Анаэробный клей для герметизации трубных резьбовых соединений большого диаметра с большими зазорами.","r","","","","","","","http://images.prom.ua/16602762_w640_h640_5811.jpg","+","788319","<p> <strong>LOXEAL 58-11</strong> &ndash; Анаэробный клей для герметизации трубных резьбовых соединений. Одобрено применение продукта для газа (DVGW), сжиженного газа (Австралийская газовая ассоциация &mdash; разрешение не 5048), на рабочее давление до 26 бар. Может использоваться в системах с кислородом в газообразном состоянии с рабочим давлением до 10 бар и рабочей температурой до 60&deg;C (BAM), одобрен для питьевой воды (ВКР). Заменяет тефлоновую уплотнительную ленту и жгут, мгновенная герметизация на среднее давление. Продукт обладает устойчивостью к вибрации и не изменяет своих свойств в диапазоне температур от -50 &deg; C до +150 &deg; C.</p>
<p> <strong>Свойства продукта:</strong> &bull; Состав: метакрилат<br /> &bull; Вязкость, 25&deg;С, МПа*с: 24000-70000<br /> &bull; Зазор, мм: 0,5<br /> &bull; Максимальный диаметр резьбы: М80, 3&raquo;<br /> &bull; Температурный диапазон, &deg;С: -55/+150<br /> &bull; Прочность на сдвиг, Н/мм2: 6-13<br /> &bull; Цвет: желтый, флуорисцентный<br /> &bull; Время схватывания (начальная прочность), мин.: 15-30<br /> &bull; Время набора полной прочности (100%): 1-3 часа</p>
<p> <strong>Процесс полимеризации:</strong> Продукт полимеризуется в зазоре между двумя металлическими поверхностями при отсутствии доступа воздуха. Тиксотропные свойства исключают утечку после или во время герметизации.</p>
<p> <strong>Область применения:</strong> Продукт рекомендуется для грубой резьбы, заполняет большие зазоры. После отверждения продукт образует между поверхностями эластичную пленку, которая полностью заменяет паклю, лен, PTFE-ленту и уплотнительную пасту. Герметизирует жесткие винтовые соединения с такой рабочей средой, как газ, сжиженный нефтяной газ, кислород, вода, углеводороды, масла и других химических веществ. Соединение выдерживает высокие температуры, давление, удары и вибрацию.</p>
<p> <strong>Рекомендации по применению:</strong> Для получения наилучших результатов склеиваемые поверхности должны быть чистыми и обезжиренными. Продукт наносится на внешнюю резьбовую часть в количестве, достаточном для заполнения резьбового зазора. Чрезмерно большие диаметры резьб и резьбовые зазоры могут негативно повлиять на прочность и скорость полимеризации. Не рекомендуется наносить на пластмассы, особенно термопласты. При необходимости такого применения необходимо предварительно проверить совместимость продукта с материалом поверхностей.</p>
<p> <strong>Условия хранения:</strong> Срок хранения 24 месяца. Продукт необходимо хранить в сухом прохладном месте в закрытых емкостях при температуре 8 &mdash; 28С, если другого не указано на упаковке. Оптимальной температурой хранения является нижняя половина вышеуказанного интервала температур. Для предотвращения порчи неиспользованного продукта не возвращайте его обратно в оригинальную упаковку.</p>
<p> &nbsp;</p>","http://prom.ua/Drugie-kleyaschie-veschestva-i-germetiki","","","","6800838","","82299","","",""
"","Фланцевый герметик LOXEAL 59-10, анаэробный, t до +200°С, 300 мл","фланцы, герметизация фланцев, герметик для металла","Анаэробный фланцевый герметик средней прочности, с высокой клеящей способностью, высокотемпературный.","r","","","","","","","http://images.prom.ua/15467592_w640_h640_loxeal_5910.jpg","+","788319","<p> <strong>LOXEAL 59-10</strong> &ndash; однокомпонентный анаэробный герметик средней прочности, высокотемпературный, химостойкий, с высокой клеящей способностью, предохраняющий соединение от протеканий, антикоррозионный.<br /> <strong>Свойства продукта:</strong> Тип химического соединения: анаэробный метакрилат.<br /> Цвет: красный флуоресцентный.<br /> Вязкость, при 25&deg;С, сПз: 75000 &ndash; 300000.<br /> Величина монтажного зазора: 0,50 мм.<br /> Предел прочности на сдвиг, Н/мм&sup2;: 5 &ndash; 10.<br /> Предел прочности на отрыв, Н/мм&sup2;: 6 &ndash; 8.<br /> Ударостойкость, мм/мм&sup2;: 5 &ndash; 10.<br /> Диапазон рабочих температур, &deg;С: от &ndash;55 до +200.<br /> Время схватывания: 15-30 мин<br /> Время набора функциональной прочности (75%): 3-6 ч<br /> Время набора полной прочности (100%): 6-12 ч<br /> Максимальная величина монтажного зазора: 0,50 мм<br /> <strong>Область применения:</strong> Герметик создает эластичные прокладки, заменяющие традиционные прокладки из резины, пробкового дерева, бумаги и др., которые используются в соединениях. Характеризуется высокой адгезией к металлическим, стеклянным, полимерным, керамическим и другим поверхностям. Устойчив к воздействию газов, воды, масел, и других химических веществ, а также к ударам и вибрации. Сохраняет рабочие характеристики в широком диапазоне рабочих температур. Применяется для герметизации плотно прилегающих соединений, предохраняя их от коррозии.<br /> <strong>Процесс полимеризации:</strong> Отверждение материала наступает после прекращения контакта с кислородом воздуха между двумя плотно прилягающими металлическими поверхностями, продукт обеспечивает герметичность сразу после закручивания соединения. На скорость полимеризации влияет температура среды, величина зазора, качество поверхности, применение активатора.<br /> <strong>Рекомендации по применению:</strong> для достижения наилучших результатов уплотняемые поверхности необходимо очистить и обезжирить. Рекомендуемый зазор &ndash; 0,5 мм. Флуоресцентная добавка позволяет определить наличие герметика в соединении при помощи УФ-лампы. Клей наносится непосредственно из тубы на одну из поверхностей беспрерывным буртиком, минуя отверстия для крепежей. Также можно применить шпатель либо валик.<br /> <strong>Условия хранения:</strong> Оптимальными условиями хранения продукта является сухое прохладное место, в оригинальных плотно закрытых емкостях при температуре 8 &mdash; 28&deg;C.</p>
<p> &nbsp;</p>","http://prom.ua/Drugie-kleyaschie-veschestva-i-germetiki","","","","6800852","","82299","","",""
"","УФ-клей, для стекла, металла LOXEAL 30-21, высокопрочный, 250 мл.","ультрафиолетовый клей, клей для стекла, клей для металла, Ультрафиолетовые лампы, уф-склейка","Однокомпонентный клей, быстродействующий, прозрачный, высокопрочный, для стекла, металла.","r","","","","","","","http://images.prom.ua/15467660_w640_h640_loxeal3021s.jpg","+","788319","<p> <strong>LOXEAL 30-21</strong> &ndash; однокомпонентный клей, полимеризующийся под воздействием УФ-излучения. Быстродействующий, прозрачный, высокопрочный. Используется для склеивания пластика, стекла и стекла с металлом. Устойчив к воздействию газа, воздуха, воды, масел, и других химических материалов, как так же к ударам и вибрации. Не изменяет свои характеристики в широком диапазоне рабочих температур.</p>
<p> <strong>Свойства продукта:</strong> &bull; Состав: Эфир уретан метакрилата<br /> &bull; Плотность, г/мл: 1,1<br /> &bull; Вязкость, 25&deg;С, МПа*с: 600-1300<br /> &bull; Зазор, мм: 0,03-0,5<br /> &bull; Температурный диапазон, &deg;С: -55/+120<br /> &bull; Светопроницаемость, %: 98<br /> &bull; Преломление, ŋ20D: 1,48-1,51<br /> &bull; Теплопроводность, В/мК: 0,1<br /> &bull; Коэффициент термического расширения,1/К: 85х10-6<br /> &bull; Диэлектрическая прочность, кВ/мм: 30-80<br /> &bull; Диэлектрическая постоянная, 25&deg;С, 1МГц: 4<br /> &bull; Предел прочности на растяжение. Н/мм2: 10-14<br /> &bull; Цвет: бесцветный<br /> &bull; Время схватывания (начальная прочность), сек.: 8 &ndash; 15.<br /> &bull; Время набора полной прочности (100%): через 12 ч.</p>
<p> <strong>Процесс полимеризации:</strong> Продукт полимеризуется при воздействии на него УФ излучения 5-100мВт/см2. Такие типы волн излучаются ртутными лампами среднего давления. Клей создает тонкое прозрачное соединение.</p>
<p> <strong>Область применения:</strong> Предназначен для соединение стекла, металлов, хрусталя, кристаллов, пластиков. Применим в ювелирной промышленности, для производства мебели, декоративных изделий, витражей, посуды и др. Продукт отличается высокой прочностью, способность заполнять большие зазоры, коротким временем отвердевания (несколько секунд), хорошей устойчивостью.</p>
<p> <strong>Рекомендации по применению:</strong> Для получения наилучших результатов склеиваемые поверхности должны быть чистыми и обезжиренными. Хотя бы один из склеиваемых материалов должен быть прозрачным (что дает возможность облучить клей ультрафиолетовыми лучами). Продукт не рекомендуется использовать на термопластиках, вследствие возможности их разрушения. При необходимости такого применения необходимо предварительно проверить совместимость продукта с материалом поверхностей.</p>
<p> <strong>Условия хранения:</strong> Продукт необходимо хранить в сухом прохладном месте в закрытых емкостях при температуре 8 &mdash; 28&deg;С, если другого не указано на упаковке, предохранять продукт от прямого солнечного света, искусственного освещения и УФ-излучения. Оптимальной температурой хранения является нижняя половина вышеуказанного интервала температур. Для предотвращения порчи неиспользованного продукта не возвращайте его обратно в оригинальную упаковку.</p>
<p> &nbsp;</p>","http://prom.ua/Drugie-kleyaschie-veschestva-i-germetiki","","","","6800959","","82299","","",""
"","УФ-клей, для стекла, металла LOXEAL 30-21, высокопрочный, 2 л.","ультрафиолетовый клей, клей для стекла, клей для металла, Ультрафиолетовые лампы, уф-склейка","Однокомпонентный клей, быстродействующий, прозрачный, высокопрочный, для стекла, металла.","r","","","","","","","http://images.prom.ua/15467717_w640_h640_loxeal3021s.jpg","+","788319","<p> <strong>LOXEAL 30-21</strong> &ndash; однокомпонентный клей, полимеризующийся под воздействием УФ-излучения. Быстродействующий, прозрачный, высокопрочный. Используется для склеивания пластика, стекла и стекла с металлом. Устойчив к воздействию газа, воздуха, воды, масел, и других химических материалов, как так же к ударам и вибрации. Не изменяет свои характеристики в широком диапазоне рабочих температур.</p>
<p> <strong>Свойства продукта:</strong> &bull; Состав: Эфир уретан метакрилата<br /> &bull; Плотность, г/мл: 1,1<br /> &bull; Вязкость, 25&deg;С, МПа*с: 600-1300<br /> &bull; Зазор, мм: 0,03-0,5<br /> &bull; Температурный диапазон, &deg;С: -55/+120<br /> &bull; Светопроницаемость, %: 98<br /> &bull; Преломление, ŋ20D: 1,48-1,51<br /> &bull; Теплопроводность, В/мК: 0,1<br /> &bull; Коэффициент термического расширения,1/К: 85х10-6<br /> &bull; Диэлектрическая прочность, кВ/мм: 30-80<br /> &bull; Диэлектрическая постоянная, 25&deg;С, 1МГц: 4<br /> &bull; Предел прочности на растяжение. Н/мм2: 10-14<br /> &bull; Цвет: бесцветный<br /> &bull; Время схватывания (начальная прочность), сек.: 8 &ndash; 15.<br /> &bull; Время набора полной прочности (100%): через 12 ч.</p>
<p> <strong>Процесс полимеризации:</strong> Продукт полимеризуется при воздействии на него УФ излучения 5-100мВт/см2. Такие типы волн излучаются ртутными лампами среднего давления. Клей создает тонкое прозрачное соединение.</p>
<p> <strong>Область применения:</strong> Предназначен для соединение стекла, металлов, хрусталя, кристаллов, пластиков. Применим в ювелирной промышленности, для производства мебели, декоративных изделий, витражей, посуды и др. Продукт отличается высокой прочностью, способность заполнять большие зазоры, коротким временем отвердевания (несколько секунд), хорошей устойчивостью.</p>
<p> <strong>Рекомендации по применению:</strong> Для получения наилучших результатов склеиваемые поверхности должны быть чистыми и обезжиренными. Хотя бы один из склеиваемых материалов должен быть прозрачным (что дает возможность облучить клей ультрафиолетовыми лучами). Продукт не рекомендуется использовать на термопластиках, вследствие возможности их разрушения. При необходимости такого применения необходимо предварительно проверить совместимость продукта с материалом поверхностей.</p>
<p> <strong>Условия хранения:</strong> Продукт необходимо хранить в сухом прохладном месте в закрытых емкостях при температуре 8 &mdash; 28&deg;С, если другого не указано на упаковке, предохранять продукт от прямого солнечного света, искусственного освещения и УФ-излучения. Оптимальной температурой хранения является нижняя половина вышеуказанного интервала температур. Для предотвращения порчи неиспользованного продукта не возвращайте его обратно в оригинальную упаковку.</p>
<p> &nbsp;</p>","http://prom.ua/Drugie-kleyaschie-veschestva-i-germetiki","","","","6800980","","82299","","",""
"","УФ-клей для стекла, металла LOXEAL 30-24, прозрачный шов, 250 мл.","ультрафиолетовый клей, клей для стекла, клей для металла, ультрафиолетовые лампы, уф-склейка","Быстродействующий клей, образует прочный, оптически прозрачный клеевой шов. Высокая адгезия к стеклу и металлу.","r","","","","","","","http://images.prom.ua/15467745_w640_h640_3024png.png","+","788319","<p> <strong>LOXEAL 30-24</strong> &ndash; однокомпонентный клей, полимеризующийся под воздействием УФ-излучения. Быстродействующий, образует прочный, оптически прозрачный, не мутнеющий клеевой шов. Высокая адгезия к стеклу и металлу. Устойчив к воздействию газа, воздуха, воды, масел, и других химических материалов, как так же к ударам и вибрации. Не изменяет свои характеристики в широком диапазоне рабочих температур.</p>
<p> <strong>Свойства продукта:</strong> &bull; Состав: Эфир уретан метакрилата<br /> &bull; Плотность, г/мл: 1,1<br /> &bull; Вязкость, 25&deg;С, МПа*с: 2500-4000<br /> &bull; Зазор, мм: 0,03-1,5<br /> &bull; Время отверждения, сек.: 6-10<br /> &bull; Температурный диапазон, &deg;С: -55/+120<br /> &bull; Светопроницаемость, %: 98<br /> &bull; Преломление, ŋ20D: 1,48-1,51<br /> &bull; Теплопроводность, В/мК: 0,1<br /> &bull; Коэффициент термического расширения,1/К: 85х10-6<br /> &bull; Диэлектрическая прочность, кВ/мм: 30-80<br /> &bull; Диэлектрическая постоянная, 25&deg;С, 1МГц: 4<br /> &bull; Предел прочности на растяжение. Н/мм2: 10-14<br /> &bull; Цвет: бесцветный<br /> &bull; Время схватывания (начальная прочность), сек.: 6 &ndash; 10.<br /> &bull; Время набора полной прочности (100%): через 12 ч.</p>
<p> <strong>Процесс полимеризации:</strong> Продукт полимеризуется при воздействии на него УФ излучения 5-100мВт/см2. Такие типы волн излучаются ртутными лампами среднего давления. Клей создает тонкое прозрачное соединение.</p>
<p> <strong>Область применения:</strong> Предназначен для соединение стекла, металлов, хрусталя, кристаллов, пластиков. Применим в ювелирной промышленности, для склеивания драгоценных камней и кристаллов, декоративных изделий, посуды и др. Продукт отличается высокой прочностью, способность заполнять большие зазоры, коротким временем отвердевания (несколько секунд), хорошей устойчивостью.<br /> Рекомендации по применению:<br /> Для получения наилучших результатов склеиваемые поверхности должны быть чистыми и обезжиренными. Хотя бы один из склеиваемых материалов должен быть прозрачным (что дает возможность облучить клей ультрафиолетовыми лучами). Продукт не рекомендуется использовать на термопластиках, вследствие возможности их разрушения. При необходимости такого применения необходимо предварительно проверить совместимость продукта с материалом поверхностей.</p>
<p> <strong>Условия хранения:</strong> Продукт необходимо хранить в сухом прохладном месте в закрытых емкостях при температуре 8 &mdash; 28&deg;C, если другого не указано на упаковке, предохранять продукт от прямого солнечного света, искусственного освещения и УФ-излучения. Оптимальной температурой хранения является нижняя половина вышеуказанного интервала температур. Для предотвращения порчи неиспользованного продукта не возвращайте его обратно в оригинальную упаковку.</p>
<p> &nbsp;</p>","http://prom.ua/Drugie-kleyaschie-veschestva-i-germetiki","","","","6800994","","82299","","",""
"","УФ-клей, для стекла, металла LOXEAL 30-23, высокопрочный, 50 мл.","ультрафиолетовый клей, клей для стекла, клей для металла, Ультрафиолетовые лампы, уф-склейка","Однокомпонентный, прозрачный, высокопрочный, для стекла, металла, очень низкая вязкость, капиллярный эффект, для плоскостной склейки.","r","","","","","","","http://images.prom.ua/15468071_w640_h640_uv3023200.jpg","+","788319","<p> <strong>LOXEAL 30-23</strong>&nbsp;&ndash; однокомпонентный клей, полимеризующийся под воздействием УФ-излучения. Быстродействующий, капиллярный, прозрачный, высокопрочный. Используется для плоскостного склеивания стекла, стекла и стекла с металлом. Можно склеивать собранные элементы или изделия. Устойчив к воздействию газа, воздуха, воды, масел, и других химических материалов, как так же к ударам и вибрации. Не изменяет свои характеристики в широком диапазоне рабочих температур.</p>
<p> <strong>Свойства продукта:</strong></p>
<ul> <li> Состав: Эфир уретан метакрилата&nbsp;&nbsp;&nbsp;</li> <li> Плотность, г/мл: 1,1</li> <li> Вязкость, 25&deg;С, МПа*с: 80-150</li> <li> Зазор, мм: 0,03-1,5</li> <li> Температурный диапазон, &deg;С: -55/+120</li> <li> Светопроницаемость, %: 98</li> <li> Преломление, ŋ<sup>20</sup>D: 1,48-1,51</li> <li> Теплопроводность, В/мК: 0,1</li> <li> Коэффициент термического расширения,1/К: 85х10<sup>-6</sup></li> <li> Диэлектрическая прочность, кВ/мм: 30-80</li> <li> Диэлектрическая постоянная, 25&deg;С, 1МГц: 4</li> <li> Предел прочности на растяжение. Н/мм<sup>2</sup>: 10-14</li> <li> Цвет: бесцветный</li> <li> Время схватывания (начальная прочность), сек.: 8-10.</li> <li> Время набора полной прочности (100 %): через 12 ч.</li> </ul>
<p> <strong>Процесс полимеризации:</strong> Продукт полимеризуется при воздействии на него УФ излучения 5-100мВт/см2. Такие типы волн излучаются ртутными лампами среднего давления. Клей создает тонкое прозрачное соединение.</p>
<p> <strong>Область применения:</strong> Предназначен для соединение стекла, металлов, хрусталя, кристаллов, пластиков. Применим в ювелирной промышленности, для производства мебели, декоративных изделий, витражей, посуды и др. Продукт отличается высокой прочностью, способность заполнять большие зазоры, коротким временем отвердевания (несколько секунд), хорошей устойчивостью.</p>
<p> <strong>Рекомендации по применению:</strong> Для получения наилучших результатов склеиваемые поверхности должны быть чистыми и обезжиренными. Хотя бы один из склеиваемых материалов должен быть прозрачным (что дает возможность облучить клей ультрафиолетовыми лучами). Продукт не рекомендуется использовать на термопластиках, вследствие возможности их разрушения. При необходимости такого применения необходимо предварительно проверить совместимость продукта с материалом поверхностей.</p>
<p> <strong>Условия хранения:</strong> Продукт необходимо хранить в сухом прохладном месте в закрытых емкостях при температуре 8 &mdash; 28&deg;С, если другого не указано на упаковке, предохранять продукт от прямого солнечного света, искусственного освещения и УФ-излучения. Оптимальной температурой хранения является нижняя половина вышеуказанного интервала температур. Для предотвращения порчи неиспользованного продукта не возвращайте его обратно в оригинальную упаковку.</p>
<p> &nbsp;</p>","http://prom.ua/Drugie-kleyaschie-veschestva-i-germetiki","","","","6801038","","82299","","",""
